Date,Open,High,Low,Close,Volume
2016-09-01,54.17,54.36,53.48,54.24,2428167
2016-09-02,54.41,54.73,54.04,54.46,2088497
2016-09-06,54.44,54.82,54.08,54.36,1500243
2016-09-07,54.46,54.49,53.66,53.77,1652973
2016-09-08,53.6,53.72,53.14,53.39,3167697
2016-09-09,52.97,53.16,51.98,52.08,4008530
2016-09-12,51.94,53.25,51.69,53.12,2523466
2016-09-13,52.73,52.94,52.38,52.53,1912456
2016-09-14,52.65,53.22,52.31,53.01,1971181
2016-09-15,52.89,53.78,52.67,53.57,2386248
2016-09-16,53.81,53.98,53.05,53.36,2352237
2016-09-19,53.53,53.92,53.28,53.49,1528904
2016-09-20,53.65,53.73,52.91,52.93,1761073
2016-09-21,53.14,53.3,52.8,53.25,2260646
2016-09-22,53.64,53.77,53.26,53.44,1155529
2016-09-23,53.5,53.58,53.07,53.12,1197167
2016-09-26,52.78,52.98,52.51,52.58,1410251
2016-09-27,52.45,53.3,51.9,53.22,1928127
2016-09-28,53.23,53.49,52.97,53.35,1341955
2016-09-29,53.33,54.0,52.82,53.49,2863107
2016-09-30,53.66,55.49,53.66,54.34,5662131
2016-10-03,54.31,54.84,53.82,53.93,2073752
2016-10-04,53.85,53.9,52.86,53.06,2310772
2016-10-05,53.33,53.61,53.07,53.41,1914876
2016-10-06,53.3,53.59,52.91,53.43,1556113
2016-10-07,53.5,53.5,52.88,52.89,2568603
2016-10-10,52.99,53.28,51.97,52.21,2576205
2016-10-11,52.18,52.18,50.79,50.99,3528361
2016-10-12,49.63,50.32,48.75,50.08,4177788
2016-10-13,49.5,50.03,49.15,49.9,3651072
2016-10-14,50.23,50.38,49.88,49.99,1874595
2016-10-17,49.91,50.18,49.53,49.7,1901515
2016-10-18,50.13,50.46,49.82,50.13,2485952
2016-10-19,49.9,50.12,49.4,49.61,2618624
2016-10-20,49.61,50.45,49.31,50.09,3320598
2016-10-21,49.74,49.82,48.97,49.78,2853906
2016-10-24,50.11,50.39,49.9,50.33,2004356
2016-10-25,50.28,50.67,50.2,50.31,2538769
2016-10-26,50.14,50.61,50.02,50.29,1955021
2016-10-27,50.62,50.92,50.24,50.32,2851482
2016-10-28,50.34,51.09,50.23,50.26,2084870
2016-10-31,50.48,50.98,50.47,50.87,2491717
2016-11-01,51.03,51.2,50.28,50.9,4210116
2016-11-02,50.92,51.0,50.11,50.12,2460895
2016-11-03,50.12,50.99,50.12,50.69,2322053
2016-11-04,50.03,50.57,49.78,49.83,2454683
2016-11-07,50.67,51.35,50.49,51.26,2683998
2016-11-08,51.35,52.1,51.18,51.7,2423536
2016-11-09,50.27,52.03,50.0,51.85,2412705
2016-11-10,51.99,52.22,50.26,50.88,4739250
2016-11-11,50.84,51.83,50.78,51.64,3310615
2016-11-14,51.9,53.18,51.67,52.83,3228699
2016-11-15,53.1,54.0,53.02,53.93,2281678
2016-11-16,53.85,54.29,53.54,53.55,2481890
2016-11-17,53.33,53.59,53.03,53.24,2525445
2016-11-18,53.2,53.23,52.91,52.98,1818056
2016-11-21,53.02,53.49,52.73,53.13,2447480
2016-11-22,53.39,53.65,53.2,53.35,2043567
2016-11-23,53.34,53.43,52.91,53.12,2652712
2016-11-25,53.19,53.59,53.12,53.39,787528
2016-11-28,53.26,53.57,53.13,53.29,2628872
2016-11-29,53.33,54.12,53.04,54.01,4413786
2016-11-30,54.1,54.74,53.69,53.98,4360487
2016-12-01,54.11,54.75,52.54,53.39,5908216
2016-12-02,53.26,54.28,53.09,54.22,3328962
2016-12-05,54.5,54.67,53.66,54.37,6458320
2016-12-06,54.34,54.62,54.01,54.54,2244931
2016-12-07,54.5,55.4,54.41,55.3,3363008
2016-12-08,55.32,56.12,55.28,55.64,2788515
2016-12-09,55.74,56.25,55.16,55.91,2256082
2016-12-12,55.7,56.08,55.47,55.86,1992346
2016-12-13,55.91,56.99,55.78,56.48,2162422
2016-12-14,56.55,57.19,56.43,56.73,2859955
2016-12-15,58.29,60.52,58.0,60.18,7769290
2016-12-16,60.3,60.33,58.36,58.46,5026987
2016-12-19,58.61,59.09,58.41,58.61,2306519
2016-12-20,58.68,60.0,58.68,59.96,3178419
2016-12-21,59.96,60.96,59.51,60.24,3080766
2016-12-22,60.74,60.89,59.84,60.19,1531617
2016-12-23,60.38,60.57,60.08,60.56,1105740
2016-12-27,61.07,61.58,60.89,61.24,1594433
2016-12-28,62.14,62.24,60.59,60.63,2140990
2016-12-29,60.6,61.12,60.36,60.74,1398114
2016-12-30,61.09,61.48,60.02,60.37,2112510
2017-01-03,60.68,60.8,58.35,59.07,4127017
2017-01-04,59.22,59.46,57.91,58.64,3281724
2017-01-05,58.78,59.11,57.84,57.93,2197970
2017-01-06,58.12,59.32,57.78,59.05,2382416
2017-01-09,58.92,59.44,58.64,59.06,3551552
2017-01-10,59.04,59.17,58.38,58.53,2271213
2017-01-11,58.88,58.99,58.33,58.5,2322039
2017-01-12,58.34,58.48,57.6,58.03,1844904
2017-01-13,58.04,58.62,57.78,58.51,1332552
2017-01-17,58.33,58.63,57.58,57.73,1996539
2017-01-18,57.5,58.28,57.03,58.14,2254335
2017-01-19,57.85,58.51,57.85,57.98,2750706
2017-01-20,58.09,58.64,57.69,58.03,2663757
2017-01-23,58.0,58.28,57.5,57.96,2538271
2017-01-24,58.14,58.99,58.1,58.92,2785527
2017-01-25,59.8,60.24,59.07,59.56,3856290
2017-01-26,60.75,60.77,56.85,57.37,7146898
2017-01-27,57.58,58.49,57.46,58.49,4526132
2017-01-30,58.35,59.19,57.8,59.1,3911805
2017-01-31,58.85,58.87,57.63,58.2,3694854
2017-02-01,58.19,58.55,57.28,57.39,3148354
2017-02-02,57.08,58.19,56.6,58.14,2401828
2017-02-03,58.26,58.48,58.01,58.22,1337414
2017-02-06,57.79,58.35,57.75,58.23,1358892
2017-02-07,58.34,58.47,58.0,58.09,1216701
2017-02-08,58.1,58.63,57.91,58.23,1357185
2017-02-09,58.17,58.43,57.85,57.94,1500369
2017-02-10,58.04,58.31,57.24,58.01,5044370
2017-02-13,58.26,59.7,58.16,59.51,3862253
2017-02-14,59.42,59.44,58.58,58.75,2394576
2017-02-15,58.77,59.43,58.6,58.92,2528666
2017-02-16,59.05,59.65,58.91,59.61,2231739
2017-02-17,59.39,60.07,58.85,60.06,2490596
2017-02-21,60.0,60.51,59.76,60.27,2233278
2017-02-22,60.39,60.48,59.48,59.81,2241532
2017-02-23,59.7,59.7,58.72,58.94,2212546
2017-02-24,58.61,59.0,58.11,58.99,2612307
2017-02-27,59.0,59.09,58.36,58.98,1805683
2017-02-28,58.92,59.42,58.63,58.82,2562918
2017-03-01,59.22,59.74,58.79,59.68,1803094
2017-03-02,59.5,59.84,59.09,59.35,1933849
2017-03-03,59.26,59.27,58.39,58.74,2340408
2017-03-06,58.81,58.93,58.4,58.81,1721280
2017-03-07,58.7,59.36,58.57,58.75,1872119
2017-03-08,58.98,59.36,58.82,58.9,2187212
2017-03-09,58.9,59.08,58.54,58.9,1823572
2017-03-10,59.34,59.77,59.12,59.55,1873385
2017-03-13,59.7,60.03,59.34,59.99,1847065
2017-03-14,59.84,59.98,58.92,59.72,1367612
2017-03-15,59.91,60.36,59.77,60.32,1572932
2017-03-16,60.44,60.81,59.75,60.05,1775168
2017-03-17,60.55,60.55,59.83,60.08,3354222
2017-03-20,60.07,60.64,59.83,60.32,1671887
2017-03-21,60.56,60.67,58.81,58.89,2443975
2017-03-22,58.94,59.3,58.66,59.07,1364394
2017-03-23,58.92,59.24,58.56,58.84,2585880
2017-03-24,59.32,59.52,58.6,58.63,1389549
2017-03-27,58.19,58.41,57.79,58.2,1884577
2017-03-28,58.17,58.29,57.82,57.97,1908164
2017-03-29,57.96,58.24,57.81,58.02,2130874
2017-03-30,57.85,58.22,57.81,57.88,1648575
2017-03-31,57.8,57.97,57.2,57.89,6222766
2017-04-03,57.93,58.26,56.79,57.18,2510480
2017-04-04,56.97,57.33,56.94,57.13,2424095
2017-04-05,57.23,57.48,56.57,56.65,2373670
2017-04-06,56.64,56.64,56.13,56.34,3203754
2017-04-07,56.45,57.12,56.31,56.48,2726174
2017-04-10,56.59,56.59,55.86,55.99,2363156
2017-04-11,55.85,55.96,55.16,55.96,2372404
2017-04-12,55.67,56.17,54.99,55.1,2984775
2017-04-13,55.42,56.37,55.05,55.68,3739794
