Date,Open,High,Low,Close,Volume
2016-04-14,51.85,51.89,51.24,51.82,7914987
2016-04-15,51.93,51.99,51.03,51.06,10121565
2016-04-18,51.09,51.73,50.94,51.55,7666806
2016-04-19,51.73,51.93,51.3,51.83,8692045
2016-04-20,51.93,52.54,51.81,52.09,10397639
2016-04-21,51.3,51.8,50.74,51.67,16510691
2016-04-22,51.71,53.09,51.68,52.64,13908563
2016-04-25,52.6,52.72,52.03,52.43,6922317
2016-04-26,52.54,52.96,52.45,52.91,7497854
2016-04-27,52.03,53.13,52.01,52.9,8225430
2016-04-28,52.48,53.28,52.04,52.13,7711002
2016-04-29,51.83,52.0,50.11,50.52,11365382
2016-05-02,50.69,51.17,50.13,51.11,7114969
2016-05-03,50.67,50.92,50.19,50.73,7763219
2016-05-04,50.19,50.88,50.15,50.49,10364025
2016-05-05,50.74,51.27,50.43,51.13,10139921
2016-05-06,50.65,51.12,50.38,50.92,9397060
2016-05-09,51.0,51.6,50.79,51.2,7162809
2016-05-10,51.26,52.23,50.97,52.15,8186026
2016-05-11,51.83,52.53,51.69,52.15,8296153
2016-05-12,52.33,52.53,51.36,51.51,9502735
2016-05-13,51.46,52.08,51.1,51.32,6943982
2016-05-16,51.32,52.17,51.12,51.91,6810014
2016-05-17,51.74,52.28,51.5,51.99,9378316
2016-05-18,52.07,53.34,52.0,52.79,10507171
2016-05-19,52.71,53.08,52.26,52.76,8591127
2016-05-20,52.97,54.58,52.87,54.52,14000353
2016-05-23,54.2,54.86,54.15,54.18,9659609
2016-05-24,54.42,55.62,54.4,55.59,12128981
2016-05-25,55.7,56.27,55.69,55.98,9266485
2016-05-26,55.97,56.14,55.51,55.74,6820459
2016-05-27,55.33,55.39,55.02,55.27,5873115
2016-05-31,55.39,55.43,54.82,54.92,15093355
2016-06-01,54.5,54.97,54.45,54.79,12156815
2016-06-02,54.65,54.92,54.28,54.88,9036180
2016-06-03,54.99,55.01,54.47,54.94,10008119
2016-06-06,54.98,55.37,54.66,54.89,7905117
2016-06-07,54.94,55.18,54.66,54.84,5400156
2016-06-08,54.73,55.05,54.67,54.94,6314812
2016-06-09,54.4,55.04,54.19,54.98,8726216
2016-06-10,54.46,54.75,53.4,53.83,15791601
2016-06-13,53.6,53.9,52.74,52.83,12128916
2016-06-14,52.66,53.25,52.47,52.7,8887261
2016-06-15,53.05,53.56,52.67,53.28,8832397
2016-06-16,52.97,53.47,52.48,53.42,5907509
2016-06-17,53.73,53.82,53.1,53.55,14548762
2016-06-20,54.17,54.66,53.86,53.89,8680761
2016-06-21,54.25,54.25,53.6,53.88,6431688
2016-06-22,53.9,54.97,53.9,54.04,8481587
2016-06-23,54.85,55.57,54.57,55.55,8952241
2016-06-24,53.01,53.82,52.12,52.12,17018501
2016-06-27,52.29,52.29,50.84,51.14,11702018
2016-06-28,51.7,52.56,51.53,52.51,7470440
2016-06-29,53.06,53.84,52.75,53.55,7126900
2016-06-30,52.9,53.57,52.46,53.57,9254406
2016-07-01,52.99,53.39,52.84,53.0,6384953
2016-07-05,52.95,52.97,51.89,51.94,10626212
2016-07-06,51.57,52.53,51.16,52.37,7740722
2016-07-07,52.58,53.38,52.41,52.93,5763546
2016-07-08,53.49,54.33,53.32,54.19,6853891
2016-07-11,53.96,54.71,53.94,54.12,6941561
2016-07-12,54.45,54.74,54.21,54.62,7413747
2016-07-13,54.91,55.0,54.63,54.83,5676402
2016-07-14,55.19,55.36,54.56,54.88,6601526
2016-07-15,54.86,54.86,54.17,54.75,10236935
2016-07-18,55.14,55.65,54.98,55.35,9225899
2016-07-19,55.73,55.9,54.95,55.14,8164205
2016-07-20,55.36,55.95,55.04,55.82,17204320
2016-07-21,59.8,60.47,59.13,59.93,33912287
2016-07-22,60.21,61.18,59.83,61.15,12505660
2016-07-25,60.96,60.97,60.15,60.73,9166238
2016-07-26,61.0,61.5,60.77,61.35,11272640
2016-07-27,61.82,62.66,61.65,62.51,13395146
2016-07-28,62.44,62.79,62.17,62.43,8514227
2016-07-29,62.6,62.82,62.24,62.58,8291025
2016-08-01,62.37,62.4,61.58,61.85,14606196
2016-08-02,61.74,61.95,60.02,60.6,14732815
2016-08-03,60.59,61.11,60.5,61.01,6448170
2016-08-04,61.11,61.23,60.73,60.98,5169565
2016-08-05,61.52,62.1,61.26,62.0,8320708
2016-08-08,62.05,62.19,61.37,61.58,8410629
2016-08-09,61.91,62.44,61.83,61.99,5350470
2016-08-10,62.0,62.16,61.44,61.71,3836232
2016-08-11,61.89,62.16,61.67,61.74,4988258
2016-08-12,61.54,61.99,61.28,61.71,4947656
2016-08-15,61.8,62.49,61.8,62.43,6498977
2016-08-16,62.08,62.5,61.76,62.07,7651256
2016-08-17,62.22,62.4,61.79,62.28,6812379
2016-08-18,62.35,63.04,62.18,63.04,7935943
2016-08-19,62.61,62.84,62.01,62.76,7092997
2016-08-22,62.7,62.87,62.35,62.83,5721165
2016-08-23,63.0,63.69,62.83,63.09,5970672
2016-08-24,62.92,63.24,62.47,62.61,6902405
2016-08-25,62.67,62.96,62.58,62.64,4916719
2016-08-26,62.89,63.51,62.65,62.97,7255608
2016-08-29,62.42,63.08,62.37,62.98,5354712
2016-08-30,63.0,63.51,62.71,62.94,5047613
2016-08-31,62.98,63.12,62.53,63.07,6516564
2016-09-01,62.87,63.5,62.51,63.47,6906300
2016-09-02,63.53,63.7,63.09,63.35,6325874
2016-09-06,63.12,63.39,62.88,63.09,5603002
2016-09-07,63.19,63.25,62.32,62.43,6281596
2016-09-08,62.03,62.81,62.0,62.69,7698134
2016-09-09,62.01,62.29,60.5,60.52,10625610
2016-09-12,60.23,62.27,59.93,62.25,10158630
2016-09-13,61.82,62.2,60.94,61.29,8397124
2016-09-14,61.29,61.95,61.04,61.59,5993289
2016-09-15,61.95,62.67,61.55,62.54,8886405
2016-09-16,62.88,63.44,62.37,62.99,14677679
2016-09-19,63.13,63.39,62.76,62.86,6759881
2016-09-20,63.27,63.3,62.53,62.7,5471416
2016-09-21,63.1,63.64,62.91,63.57,7488588
2016-09-22,63.71,64.0,63.36,63.52,7895710
2016-09-23,63.0,63.57,62.67,62.75,7794722
2016-09-26,62.49,62.56,61.86,62.31,6207366
2016-09-27,62.53,63.36,62.44,63.31,5228334
2016-09-28,63.23,63.69,63.0,63.45,5251926
2016-09-29,63.28,68.83,62.71,67.45,43098784
2016-09-30,68.4,70.4,68.15,68.5,34879502
2016-10-03,68.08,69.28,66.87,67.11,10153594
2016-10-04,67.7,67.7,66.56,66.68,9746412
2016-10-05,66.84,67.42,66.55,66.84,6361993
2016-10-06,66.8,69.32,66.23,67.54,12957165
2016-10-07,67.53,68.33,67.49,68.19,8398099
2016-10-10,68.34,68.58,67.06,67.25,7030377
2016-10-11,67.0,67.09,65.45,66.09,8910597
2016-10-12,66.49,66.49,65.06,66.06,6615721
2016-10-13,65.55,66.06,64.3,65.7,7236603
2016-10-14,65.94,66.59,65.45,65.7,6743106
2016-10-17,65.53,65.71,65.09,65.19,6348209
2016-10-18,66.18,66.22,65.57,66.1,5966858
2016-10-19,65.88,66.06,65.3,65.79,5414694
2016-10-20,65.48,68.17,65.48,67.34,13579044
2016-10-21,67.11,69.44,66.7,67.93,19676630
2016-10-24,68.4,68.45,67.48,68.06,6669606
2016-10-25,67.9,68.25,67.48,67.71,5369950
2016-10-26,67.31,68.62,67.25,68.2,9241241
2016-10-27,70.8,71.62,70.0,70.09,33941733
2016-10-28,70.52,70.53,67.66,68.4,17952659
2016-10-31,69.0,69.51,68.68,68.72,10108268
2016-11-01,69.0,69.35,67.54,68.34,8910085
2016-11-02,68.46,68.6,67.02,67.09,15183040
2016-11-03,67.69,68.57,65.93,66.95,15642519
2016-11-04,65.74,67.41,65.74,66.73,8584254
2016-11-07,67.72,68.58,67.39,68.46,9205303
2016-11-08,68.22,68.71,67.63,68.27,6696564
2016-11-09,66.63,68.09,66.25,67.88,11604410
2016-11-10,67.81,68.21,64.32,66.31,17774884
2016-11-11,65.87,67.0,65.84,66.88,10239827
2016-11-14,67.42,67.42,65.93,65.93,8256806
2016-11-15,66.26,67.16,65.95,66.77,9615236
2016-11-16,66.71,66.71,65.65,66.3,9552165
2016-11-17,66.44,66.77,66.16,66.67,6433061
2016-11-18,66.68,67.46,65.94,67.31,9889299
2016-11-21,66.86,67.2,66.15,67.1,7868947
2016-11-22,67.57,68.6,67.04,68.31,9803646
2016-11-23,68.33,68.5,67.75,68.13,4820254
2016-11-25,68.16,68.42,67.71,68.29,4200136
2016-11-28,67.42,67.7,66.8,67.1,8225168
2016-11-29,67.23,67.54,66.63,66.77,6544858
2016-11-30,66.8,68.31,66.5,68.13,12470027
2016-12-01,67.72,67.92,63.78,64.16,16563896
2016-12-02,63.95,66.33,63.95,65.84,9687015
2016-12-05,66.38,66.94,65.69,66.36,8708196
2016-12-06,66.65,67.48,66.5,67.45,6701797
2016-12-07,67.35,68.34,66.96,68.34,7202661
2016-12-08,68.42,69.18,68.37,68.55,5552585
2016-12-09,68.61,68.89,67.8,68.52,5551783
2016-12-12,68.37,68.64,67.92,68.47,5615537
2016-12-13,68.72,70.24,68.49,69.34,8494227
2016-12-14,68.64,69.18,67.35,67.56,9957690
2016-12-15,68.1,68.77,67.31,68.03,7162470
2016-12-16,68.49,68.49,66.3,66.46,18155575
2016-12-19,66.79,67.43,66.64,67.02,7884694
2016-12-20,67.38,67.56,66.77,66.91,6685432
2016-12-21,67.07,67.35,66.82,67.16,5211362
2016-12-22,67.64,67.75,66.46,66.76,5900160
2016-12-23,66.89,66.94,66.52,66.86,3088052
2016-12-27,67.14,67.58,67.06,67.25,3028159
2016-12-28,66.65,67.07,65.7,65.75,6547168
2016-12-29,65.5,66.08,65.42,66.04,3700771
2016-12-30,66.25,66.35,65.04,65.2,5941909
2017-01-03,65.86,66.14,64.6,65.4,9519838
2017-01-04,65.67,65.95,65.26,65.47,6221655
2017-01-05,65.22,65.98,65.05,65.55,5998898
2017-01-06,65.48,65.87,64.86,65.53,6749352
2017-01-09,65.53,66.26,65.49,65.65,4769160
2017-01-10,65.95,66.16,65.57,65.63,6076032
2017-01-11,65.75,66.11,65.42,66.1,8349761
2017-01-12,65.35,66.18,65.05,66.12,6113613
2017-01-13,66.25,67.08,66.16,66.88,6177365
2017-01-17,66.71,66.97,63.15,64.19,22426310
2017-01-18,64.67,66.09,63.81,65.13,15883201
2017-01-19,64.97,65.4,64.36,64.44,9429206
2017-01-20,65.19,65.74,62.62,62.88,20936881
2017-01-23,58.67,58.67,53.77,54.88,94436001
2017-01-24,55.02,55.77,54.7,55.0,41751760
2017-01-25,56.1,56.98,55.5,56.9,27969706
2017-01-26,55.35,55.49,53.5,54.05,37888156
2017-01-27,54.65,54.76,54.0,54.24,23474353
2017-01-30,54.39,54.4,53.55,53.61,14853856
2017-01-31,53.61,53.64,52.83,53.43,13995448
2017-02-01,53.64,53.82,52.86,53.15,16102109
2017-02-02,52.95,53.1,52.37,52.66,14481242
2017-02-03,52.95,53.22,52.75,52.98,10965265
2017-02-06,53.31,53.41,52.82,52.88,8215133
2017-02-07,53.22,53.28,52.76,53.27,10374100
2017-02-08,53.39,53.39,52.72,52.89,9229045
2017-02-09,52.91,53.1,52.76,52.88,7615138
2017-02-10,53.1,54.28,52.93,54.0,14042202
2017-02-13,54.58,55.13,54.26,54.93,14516176
2017-02-14,55.43,55.52,54.82,55.48,13071979
2017-02-15,55.63,56.5,55.49,56.49,14149193
2017-02-16,56.58,56.9,56.44,56.88,11622895
2017-02-17,56.85,56.94,56.05,56.46,12456638
2017-02-21,56.83,57.19,56.58,56.75,9878152
2017-02-22,56.78,57.1,56.48,57.1,8711537
2017-02-23,57.01,57.3,56.77,57.14,10152814
2017-02-24,57.02,57.23,56.5,57.22,10644787
2017-02-27,56.56,56.98,56.31,56.73,7127599
2017-02-28,56.49,56.52,55.89,56.48,10388173
2017-03-01,56.93,57.08,56.27,57.01,11082396
2017-03-02,56.95,57.15,56.24,56.37,8451735
2017-03-03,56.52,56.57,56.0,56.44,6984526
2017-03-06,56.27,56.56,56.07,56.45,7241631
2017-03-07,56.6,56.82,56.19,56.73,7131737
2017-03-08,56.92,58.08,56.8,57.77,13201652
2017-03-09,57.65,58.1,57.4,57.97,9875608
2017-03-10,58.36,58.79,58.3,58.64,9751987
2017-03-13,59.03,59.04,58.2,58.46,7737879
2017-03-14,58.38,58.38,57.72,58.22,6276935
2017-03-15,58.42,58.75,58.18,58.52,9029458
2017-03-16,58.3,58.73,58.16,58.35,7206192
2017-03-17,58.57,58.61,57.51,57.55,20057782
2017-03-20,57.79,58.07,57.59,57.81,7498218
2017-03-21,57.93,58.1,56.74,56.8,10092647
2017-03-22,56.73,57.12,56.1,57.04,9129711
2017-03-23,57.16,57.27,56.59,56.81,7718655
2017-03-24,57.47,57.47,56.64,56.92,5621440
2017-03-27,56.72,56.94,56.48,56.66,4726309
2017-03-28,56.67,57.61,56.67,57.38,5953489
2017-03-29,57.09,57.37,56.86,57.36,4042648
2017-03-30,57.36,57.65,57.19,57.2,6358995
2017-03-31,57.46,57.69,56.97,57.34,10064955
2017-04-03,57.26,57.34,56.04,56.5,11343523
2017-04-04,56.3,56.91,56.25,56.68,7124105
2017-04-05,56.8,57.53,56.42,56.47,7857728
2017-04-06,56.44,56.73,56.14,56.53,5757837
2017-04-07,56.58,56.6,56.19,56.32,5229759
2017-04-10,56.43,56.81,56.27,56.52,6039764
2017-04-11,56.32,56.36,54.72,55.35,17301754
2017-04-12,54.64,54.65,53.12,53.39,24822200
2017-04-13,53.13,53.68,52.78,52.79,17014422
