Date,Open,High,Low,Close,Volume
2016-12-21,1498.11,1512.71,1495.0,1505.76,291489
2016-12-22,1501.4,1503.18,1475.42,1481.34,406420
2016-12-23,1477.54,1490.08,1470.34,1486.2,275867
2016-12-27,1490.01,1503.39,1486.43,1493.42,193927
2016-12-28,1494.73,1496.05,1476.48,1480.46,248715
2016-12-29,1477.21,1487.43,1473.35,1480.16,200861
2016-12-30,1483.49,1483.49,1462.34,1466.06,407379
2017-01-03,1476.91,1487.36,1459.49,1477.57,458853
2017-01-04,1484.64,1493.65,1480.75,1487.29,388519
2017-01-05,1489.89,1504.94,1489.89,1503.7,447540
2017-01-06,1501.54,1526.47,1501.21,1520.57,473400
2017-01-09,1518.0,1538.77,1518.0,1529.64,397497
2017-01-10,1534.96,1544.56,1529.5,1535.25,325352
2017-01-11,1532.21,1546.67,1527.02,1536.11,405273
2017-01-12,1531.56,1539.93,1516.0,1538.59,314981
2017-01-13,1535.75,1548.94,1531.26,1545.82,327038
2017-01-17,1544.0,1546.99,1534.01,1540.13,330472
2017-01-18,1545.22,1547.25,1529.21,1541.86,246014
2017-01-19,1541.4,1549.0,1532.72,1539.02,279178
2017-01-20,1547.56,1547.56,1528.01,1545.01,596473
2017-01-23,1541.47,1555.73,1534.63,1554.99,430332
2017-01-24,1558.38,1566.06,1552.13,1563.33,360258
2017-01-25,1569.0,1581.47,1565.26,1578.82,308820
2017-01-26,1576.56,1587.51,1575.45,1581.44,294924
2017-01-27,1581.0,1605.47,1577.67,1602.92,428544
2017-01-30,1598.65,1603.58,1571.0,1602.31,469914
2017-01-31,1599.0,1599.41,1569.03,1575.13,517992
2017-02-01,1584.09,1586.59,1562.86,1575.31,330688
2017-02-02,1570.03,1585.45,1567.0,1574.09,444754
2017-02-03,1576.49,1587.99,1572.81,1583.38,318032
2017-02-06,1581.34,1588.87,1571.32,1587.18,210247
2017-02-07,1590.0,1598.93,1588.0,1598.7,295491
2017-02-08,1595.18,1604.3,1589.0,1601.19,373637
2017-02-09,1602.84,1616.08,1598.05,1611.83,414258
2017-02-10,1617.47,1649.65,1614.02,1646.51,843784
2017-02-13,1652.0,1652.0,1640.0,1646.18,414147
2017-02-14,1646.18,1646.31,1630.34,1637.29,391013
2017-02-15,1631.3,1651.27,1628.0,1648.96,281001
2017-02-16,1647.45,1658.97,1642.5,1648.88,301723
2017-02-17,1648.78,1648.78,1634.06,1637.4,413956
2017-02-21,1642.98,1657.24,1637.42,1647.0,460327
2017-02-22,1641.52,1653.46,1639.0,1651.74,278868
2017-02-23,1661.9,1664.99,1633.4,1637.26,412834
2017-02-24,1627.55,1640.68,1622.02,1631.62,562914
2017-02-27,1631.11,1635.32,1612.41,1632.01,812957
2017-02-28,1703.89,1748.39,1698.1,1724.13,1739807
2017-03-01,1741.0,1742.02,1726.23,1733.18,623667
2017-03-02,1737.52,1747.26,1730.8,1734.37,503317
2017-03-03,1731.0,1742.0,1729.41,1735.1,292797
2017-03-06,1730.0,1736.85,1727.0,1730.21,354605
2017-03-07,1720.0,1737.62,1720.0,1736.46,282612
2017-03-08,1735.2,1749.64,1731.67,1743.49,421157
2017-03-09,1738.15,1756.32,1738.15,1749.42,419507
2017-03-10,1757.14,1759.17,1750.81,1754.24,330910
2017-03-13,1757.0,1772.49,1754.94,1767.12,327936
2017-03-14,1767.93,1769.86,1756.24,1769.0,321166
2017-03-15,1772.78,1773.38,1759.78,1767.98,353244
2017-03-16,1771.0,1775.0,1768.94,1773.98,302241
2017-03-17,1774.73,1774.73,1766.78,1772.63,414638
2017-03-20,1773.5,1776.69,1762.57,1765.44,262391
2017-03-21,1772.0,1772.0,1744.08,1747.14,432755
2017-03-22,1747.14,1754.9,1739.0,1751.99,278518
2017-03-23,1752.95,1758.8,1747.67,1748.33,220854
2017-03-24,1753.6,1757.49,1748.19,1753.11,300374
2017-03-27,1736.0,1774.34,1733.0,1772.0,400413
2017-03-28,1767.65,1798.75,1766.51,1788.45,454890
2017-03-29,1789.83,1797.46,1783.3,1785.05,288372
2017-03-30,1788.48,1795.56,1779.64,1789.2,278237
2017-03-31,1784.74,1790.78,1778.78,1779.97,420527
2017-04-03,1776.26,1785.0,1766.01,1773.99,360029
2017-04-04,1772.99,1774.5,1761.41,1767.38,258457
2017-04-05,1770.66,1787.57,1758.75,1761.77,324137
2017-04-06,1764.75,1774.94,1755.37,1773.52,327409
2017-04-07,1773.94,1773.99,1761.26,1769.56,289700
2017-04-10,1770.0,1782.12,1767.2,1775.97,262001
2017-04-11,1770.01,1780.55,1756.6,1768.4,353316
2017-04-12,1774.58,1774.9,1750.01,1750.01,426815
2017-04-13,1754.63,1757.18,1738.34,1738.77,418307
