Date,Open,High,Low,Close,Volume
2016-06-22,233.66,238.48,232.16,234.6,2622350
2016-06-23,237.18,238.79,235.76,238.62,1402996
2016-06-24,232.0,235.3,229.0,229.02,2685048
2016-06-27,227.0,229.54,223.02,224.6,2929862
2016-06-28,225.68,229.75,225.68,228.52,2115685
2016-06-29,232.87,239.85,232.0,238.91,2881234
2016-06-30,239.31,241.9,236.67,241.82,2093220
2016-07-01,242.57,246.54,241.59,245.06,1465515
2016-07-05,244.62,244.8,240.07,242.03,1239300
2016-07-06,241.64,247.89,240.71,247.48,1750938
2016-07-07,247.24,249.66,245.22,247.27,1140351
2016-07-08,248.63,251.78,246.11,251.3,1296446
2016-07-11,253.25,255.1,251.12,252.54,1746571
2016-07-12,253.78,254.85,251.29,253.36,1175107
2016-07-13,254.24,254.27,250.82,251.19,1285359
2016-07-14,253.3,253.8,250.02,252.87,1295371
2016-07-15,254.12,260.45,253.81,260.3,2404882
2016-07-18,260.04,262.8,257.47,261.5,2133040
2016-07-19,260.94,262.49,258.16,259.82,1094509
2016-07-20,259.87,263.16,257.57,262.41,1830168
2016-07-21,279.76,282.54,274.23,282.45,5548039
2016-07-22,282.09,290.92,281.38,287.78,3394578
2016-07-25,287.84,290.58,285.02,287.35,1977714
2016-07-26,286.0,289.95,285.47,287.04,1987081
2016-07-27,286.83,288.77,286.08,288.35,1458156
2016-07-28,288.61,289.98,285.07,289.03,1454493
2016-07-29,288.85,290.46,286.8,289.93,1338487
2016-08-01,300.0,307.5,299.06,301.83,3565617
2016-08-02,302.88,333.65,297.66,330.11,7799985
2016-08-03,321.77,324.3,310.06,321.34,6040515
2016-08-04,320.15,320.45,314.01,314.56,2002341
2016-08-05,316.16,318.91,313.69,315.96,1358794
2016-08-08,316.02,316.35,309.16,313.65,2136783
2016-08-09,313.72,316.24,311.8,314.42,1132233
2016-08-10,315.0,315.0,307.14,308.87,1236312
2016-08-11,309.47,316.25,309.42,314.49,1771130
2016-08-12,311.99,315.23,311.65,313.94,993791
2016-08-15,313.4,315.08,310.01,313.39,929774
2016-08-16,313.27,316.67,312.64,313.42,946103
2016-08-17,314.17,314.71,311.29,313.82,852640
2016-08-18,313.57,313.76,312.0,313.38,878954
2016-08-19,313.69,319.89,312.38,316.81,1393517
2016-08-22,316.15,320.82,315.13,316.81,1317755
2016-08-23,316.81,322.99,315.28,318.17,1429298
2016-08-24,318.18,321.74,306.73,309.33,1646520
2016-08-25,309.03,311.97,301.02,306.85,1669761
2016-08-26,307.21,310.74,304.56,308.17,1124177
2016-08-29,307.87,309.14,304.79,306.13,1044953
2016-08-30,305.24,309.0,305.0,307.86,1070960
2016-08-31,307.68,308.68,304.22,305.63,1044983
2016-09-01,307.96,309.25,305.02,306.03,1068034
2016-09-02,311.83,318.88,308.66,313.59,2230390
2016-09-06,310.43,316.47,309.12,310.67,1705393
2016-09-07,309.96,313.72,309.96,312.3,1155574
2016-09-08,311.35,312.44,307.42,307.73,1482300
2016-09-09,304.62,305.48,296.07,296.1,1976236
2016-09-12,294.14,303.85,293.84,302.66,1810964
2016-09-13,300.25,300.76,294.74,297.41,1829334
2016-09-14,298.34,304.11,298.21,299.79,1538707
2016-09-15,300.0,304.46,298.01,302.82,1276546
2016-09-16,303.15,306.29,300.17,304.51,1874532
2016-09-19,304.83,308.0,303.17,303.5,1108344
2016-09-20,306.06,308.86,304.0,307.05,1100149
2016-09-21,309.0,312.39,304.11,312.0,1527608
2016-09-22,313.07,315.98,311.37,314.81,1378024
2016-09-23,312.58,317.32,312.11,312.58,881641
2016-09-26,311.7,312.02,308.68,309.82,924232
2016-09-27,309.78,315.0,307.5,314.53,1104517
2016-09-28,315.99,315.99,308.74,310.55,1020123
2016-09-29,310.17,312.47,304.04,305.78,1133926
2016-09-30,306.59,314.38,306.04,313.03,2124784
2016-10-03,313.0,313.0,308.85,311.59,1001181
2016-10-04,311.94,314.0,309.88,311.48,914048
2016-10-05,313.27,313.32,308.6,309.7,977263
2016-10-06,308.3,309.89,303.92,305.99,865092
2016-10-07,307.31,308.0,302.22,305.59,1525994
2016-10-10,308.0,308.7,304.27,304.59,987242
2016-10-11,304.13,304.52,296.32,298.3,1494581
2016-10-12,298.29,299.12,291.49,291.88,1823719
2016-10-13,289.19,296.62,288.91,294.41,1571633
2016-10-14,295.63,297.34,290.13,290.5,1149803
2016-10-17,289.89,293.42,288.25,291.67,1209675
2016-10-18,292.87,298.57,292.63,295.05,1153112
2016-10-19,296.26,296.54,292.49,295.14,988160
2016-10-20,293.85,300.32,293.77,299.66,1323709
2016-10-21,299.07,299.07,289.78,290.65,1567526
2016-10-24,292.3,293.4,290.0,290.78,1088183
2016-10-25,290.84,291.08,285.27,286.0,1838332
2016-10-26,294.98,301.34,291.3,296.46,2660104
2016-10-27,298.0,300.78,290.51,290.89,1554338
2016-10-28,290.29,290.47,280.34,283.64,1884480
2016-10-31,284.91,285.0,279.23,280.18,1448893
2016-11-01,280.03,285.18,279.53,282.56,1371542
2016-11-02,282.31,282.31,277.09,277.26,1081865
2016-11-03,277.65,278.57,272.98,273.49,1407914
2016-11-04,269.39,279.93,268.0,277.0,1307599
2016-11-07,290.64,297.27,289.23,295.62,2189951
2016-11-08,295.2,299.07,292.55,295.6,1031009
2016-11-09,312.0,328.98,309.68,319.86,4271743
2016-11-10,321.95,329.83,319.49,324.4,2665842
2016-11-11,320.29,322.64,314.47,319.18,1619528
2016-11-14,319.73,324.83,317.54,321.49,1567854
2016-11-15,321.55,323.15,314.61,322.58,1685065
2016-11-16,323.15,325.3,317.39,317.65,1218135
2016-11-17,318.23,320.24,315.35,319.3,1447006
2016-11-18,318.86,321.0,313.31,317.0,1298399
2016-11-21,318.36,320.31,316.52,318.32,1331116
2016-11-22,320.79,321.0,314.02,318.11,1522222
2016-11-23,293.82,308.88,293.8,305.93,5378165
2016-11-25,306.46,307.15,302.39,305.2,741587
2016-11-28,304.36,305.84,301.3,303.78,1247877
2016-11-29,304.73,307.42,302.53,302.77,1389545
2016-11-30,303.34,304.3,293.95,294.07,2164882
2016-12-01,296.32,296.65,293.11,295.78,1684754
2016-12-02,296.53,299.95,293.04,297.19,1429360
2016-12-05,298.94,299.89,289.48,290.22,1870741
2016-12-06,291.75,294.45,290.0,291.16,1572611
2016-12-07,285.5,288.97,280.5,285.3,1967395
2016-12-08,285.8,292.97,278.58,289.54,4771276
2016-12-09,305.24,306.98,281.79,287.77,6257682
2016-12-12,289.2,290.95,284.07,286.49,1776185
2016-12-13,286.75,289.5,284.81,287.38,1596156
2016-12-14,288.21,289.96,285.24,286.25,1299333
2016-12-15,287.16,288.53,285.02,286.97,1706514
2016-12-16,287.62,289.09,286.0,286.4,2273191
2016-12-19,286.59,290.51,272.96,278.77,2553470
2016-12-20,280.98,286.67,279.13,285.59,2219556
2016-12-21,285.06,285.65,281.0,283.11,1377843
2016-12-22,281.83,283.17,280.02,283.07,1061841
2016-12-23,283.05,288.38,281.81,287.53,1118144
2016-12-27,295.17,296.38,290.75,291.12,1453100
2016-12-28,291.99,292.11,288.5,289.25,1036170
2016-12-29,288.96,290.41,285.23,287.03,1120879
2016-12-30,287.79,288.56,282.64,283.58,1327153
2017-01-03,285.82,293.2,284.86,291.71,1763443
2017-01-04,291.59,296.83,290.04,294.05,1273467
2017-01-05,294.81,296.32,292.22,293.57,1318575
2017-01-06,294.59,296.41,292.39,295.0,1082512
2017-01-09,295.39,300.0,294.41,299.02,1430479
2017-01-10,300.42,301.42,296.43,297.79,1408419
2017-01-11,296.95,297.9,285.0,287.11,2450513
2017-01-12,286.61,288.99,285.04,287.77,1354719
2017-01-13,288.07,289.86,284.25,284.75,1711466
2017-01-17,284.28,286.35,281.08,283.01,1971069
2017-01-18,284.79,286.16,282.87,283.61,1079736
2017-01-19,282.74,284.84,279.23,280.35,1421500
2017-01-20,282.07,282.56,279.41,280.66,1979109
2017-01-23,280.35,282.72,275.49,276.02,1858013
2017-01-24,275.74,278.4,271.47,273.82,1975246
2017-01-25,274.54,277.78,271.43,273.24,2788425
2017-01-26,278.0,285.78,277.0,278.89,2419015
2017-01-27,280.46,281.98,277.29,278.21,1353362
2017-01-30,278.27,278.9,274.22,276.06,1300320
2017-01-31,275.01,278.0,271.9,277.24,1856355
2017-02-01,278.98,282.07,277.51,281.69,1699544
2017-02-02,263.76,264.52,260.5,264.23,2733879
2017-02-03,264.98,266.0,261.76,264.67,1537510
2017-02-06,264.46,265.73,263.18,264.91,1619058
2017-02-07,269.47,269.67,264.56,266.11,1546866
2017-02-08,265.43,269.01,265.43,268.74,1922644
2017-02-09,268.24,271.16,267.74,270.44,1399655
2017-02-10,270.68,276.41,269.98,274.76,1648854
2017-02-13,276.28,279.76,275.16,278.91,1795505
2017-02-14,279.86,286.06,279.01,285.14,2404545
2017-02-15,284.57,292.89,284.24,292.64,2601209
2017-02-16,292.5,293.98,287.76,290.13,1834892
2017-02-17,290.0,291.9,287.76,288.94,2022911
2017-02-21,289.16,289.91,286.22,286.9,1471212
2017-02-22,287.75,289.43,285.22,287.63,1045957
2017-02-23,287.75,288.11,283.36,284.75,1418866
2017-02-24,285.01,285.81,266.0,285.13,1768544
2017-02-27,285.39,291.25,284.27,291.13,1295089
2017-02-28,290.13,291.42,287.19,288.6,1251341
2017-03-01,290.07,294.17,289.14,293.26,1319662
2017-03-02,293.64,296.93,291.0,293.59,1282367
2017-03-03,293.12,298.0,293.12,297.85,1170895
2017-03-06,297.09,297.9,294.4,295.66,1395575
2017-03-07,293.89,293.89,290.67,291.1,1298355
2017-03-08,290.18,294.82,288.72,294.09,1253038
2017-03-09,291.27,294.92,290.44,293.06,1281210
2017-03-10,293.31,293.9,289.45,292.24,1303701
2017-03-13,291.55,293.85,290.15,292.95,1291753
2017-03-14,292.27,293.39,290.18,292.47,797920
2017-03-15,293.14,294.56,289.39,292.64,1376048
2017-03-16,285.01,285.43,275.7,278.96,3870926
2017-03-17,276.07,280.61,274.61,276.09,3140208
2017-03-20,276.86,278.61,272.97,274.8,1666855
2017-03-21,276.4,284.71,274.54,275.79,3841567
2017-03-22,276.43,278.54,274.93,277.87,1333588
2017-03-23,277.03,279.39,274.69,275.41,1605032
2017-03-24,277.08,278.1,272.87,274.82,1368217
2017-03-27,272.55,276.71,272.34,275.23,1133652
2017-03-28,275.59,276.71,272.5,274.11,1149367
2017-03-29,273.91,273.91,268.2,268.53,2632221
2017-03-30,268.69,270.07,267.74,269.06,1448834
2017-03-31,269.3,275.0,268.02,273.42,2747445
2017-04-03,274.08,274.79,271.29,272.69,1589017
2017-04-04,273.0,274.73,272.57,274.24,1086219
2017-04-05,274.48,274.66,270.07,270.44,1340182
2017-04-06,270.14,272.6,269.34,270.94,1623152
2017-04-07,270.6,270.84,267.32,268.73,1677602
2017-04-10,268.68,270.4,268.14,269.3,860975
2017-04-11,269.08,270.0,267.1,268.65,1247187
2017-04-12,270.37,270.64,267.77,268.92,1058104
2017-04-13,269.09,273.14,267.5,271.88,1173771
